title,artist,top genre,followers,artist_popularity,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity
"Hey, Soul Sister",Train,POP,3.618665,78.0,2010,97.0,89.0,67.0,-4.0,8.0,80.0,217.0,19.0,4.0,83
Love The Way You Lie,Eminem,HIPHOP,42.79582,95.0,2010,87.0,93.0,75.0,-5.0,52.0,64.0,263.0,24.0,23.0,82
TiK ToK,Kesha,POP,6.235482,82.0,2010,120.0,84.0,76.0,-3.0,29.0,71.0,200.0,10.0,14.0,80
Bad Romance,Lady Gaga,POP,16.716518,90.0,2010,119.0,92.0,70.0,-4.0,8.0,71.0,295.0,0.0,4.0,79
Just the Way You Are,Bruno Mars,POP,29.381078999999996,93.0,2010,109.0,84.0,64.0,-5.0,9.0,43.0,221.0,2.0,4.0,78
Baby,Justin Bieber,POP,43.755452000000005,98.0,2010,65.0,86.0,73.0,-5.0,11.0,54.0,214.0,4.0,14.0,77
Dynamite,Taio Cruz,POP,1.899663,75.0,2010,120.0,78.0,75.0,-4.0,4.0,82.0,203.0,0.0,9.0,77
Secrets,OneRepublic,POP,11.507962,85.0,2010,148.0,76.0,52.0,-6.0,12.0,38.0,225.0,7.0,4.0,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,HIPHOP,8.491202000000001,83.0,2010,93.0,37.0,48.0,-8.0,12.0,14.0,216.0,74.0,3.0,76
Only Girl (In The World),Rihanna,POP,41.858636,93.0,2010,126.0,72.0,79.0,-4.0,7.0,61.0,235.0,13.0,4.0,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,POP,7.995771,83.0,2010,128.0,87.0,62.0,-4.0,6.0,47.0,235.0,3.0,3.0,73
Marry You,Bruno Mars,POP,29.381078999999996,93.0,2010,145.0,83.0,62.0,-5.0,10.0,48.0,230.0,33.0,4.0,73
Cooler Than Me - Single Mix,Mike Posner,POP,1.123621,76.0,2010,130.0,82.0,77.0,-5.0,70.0,63.0,213.0,18.0,5.0,73
Telephone,Lady Gaga,POP,16.716518,90.0,2010,122.0,83.0,83.0,-6.0,11.0,71.0,221.0,1.0,4.0,73
Like A G6,Far East Movement,POP,1.019001,71.0,2010,125.0,84.0,44.0,-8.0,12.0,78.0,217.0,1.0,45.0,72
OMG (feat. will.i.am),Usher,HIPHOP,8.554807,85.0,2010,130.0,75.0,78.0,-6.0,36.0,33.0,269.0,20.0,3.0,72
Eenie Meenie,Sean Kingston,POP,2.0445740000000003,76.0,2010,121.0,61.0,72.0,-4.0,11.0,83.0,202.0,5.0,3.0,71
The Time (Dirty Bit),The Black Eyed Peas,POP,,,2010,128.0,81.0,82.0,-8.0,60.0,44.0,308.0,7.0,7.0,70
Alejandro,Lady Gaga,POP,16.716518,90.0,2010,99.0,80.0,63.0,-7.0,36.0,37.0,274.0,0.0,5.0,69
Your Love Is My Drug,Kesha,POP,6.235482,82.0,2010,120.0,61.0,83.0,-4.0,9.0,76.0,187.0,1.0,10.0,69
Meet Me Halfway,The Black Eyed Peas,POP,,,2010,130.0,63.0,80.0,-7.0,32.0,40.0,284.0,0.0,7.0,68
Whataya Want from Me,Adam Lambert,POP,1.176878,68.0,2010,186.0,68.0,44.0,-5.0,6.0,45.0,227.0,1.0,5.0,66
Take It Off,Kesha,POP,6.235482,82.0,2010,125.0,68.0,73.0,-5.0,9.0,74.0,215.0,0.0,3.0,66
Misery,Maroon 5,POP,29.955690999999998,91.0,2010,103.0,81.0,70.0,-5.0,22.0,73.0,216.0,0.0,4.0,65
All The Right Moves,OneRepublic,POP,11.507962,85.0,2010,146.0,95.0,53.0,-4.0,28.0,65.0,238.0,26.0,5.0,65
Animal,Neon Trees,POP,1.006162,73.0,2010,148.0,83.0,48.0,-6.0,38.0,74.0,212.0,0.0,4.0,65
Naturally,Selena Gomez & The Scene,POP,6.3215,72.0,2010,133.0,90.0,61.0,-5.0,5.0,88.0,203.0,2.0,5.0,64
I Like It,Enrique Iglesias,POP,9.980979,81.0,2010,129.0,94.0,65.0,-3.0,6.0,73.0,231.0,2.0,9.0,63
Teenage Dream,Katy Perry,POP,17.821796,88.0,2010,120.0,80.0,72.0,-5.0,13.0,59.0,228.0,2.0,4.0,63
California Gurls,Katy Perry,POP,17.821796,88.0,2010,125.0,75.0,79.0,-4.0,18.0,40.0,235.0,0.0,5.0,62
3,Britney Spears,POP,8.732805,85.0,2010,135.0,71.0,70.0,-2.0,14.0,79.0,213.0,5.0,5.0,62
My First Kiss - feat. Ke$ha,3OH!3,POP,0.739929,70.0,2010,138.0,89.0,68.0,-4.0,36.0,83.0,192.0,1.0,8.0,62
Blah Blah Blah (feat. 3OH!3),Kesha,POP,6.235482,82.0,2010,120.0,84.0,75.0,-3.0,42.0,52.0,172.0,8.0,12.0,62
Imma Be,The Black Eyed Peas,POP,,,2010,92.0,52.0,60.0,-7.0,31.0,41.0,258.0,18.0,37.0,62
Try Sleeping with a Broken Heart,Alicia Keys,HIPHOP,8.491202000000001,83.0,2010,111.0,82.0,50.0,-5.0,13.0,55.0,249.0,16.0,11.0,62
Sexy Bitch (feat. Akon),David Guetta,POP,22.306494,91.0,2010,130.0,63.0,81.0,-5.0,13.0,80.0,196.0,8.0,5.0,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,POP,5.976217,83.0,2010,164.0,41.0,29.0,-5.0,13.0,7.0,264.0,83.0,3.0,61
If I Had You,Adam Lambert,POP,1.176878,68.0,2010,131.0,91.0,65.0,-4.0,37.0,79.0,228.0,1.0,11.0,59
Rock That Body,The Black Eyed Peas,POP,,,2010,125.0,91.0,72.0,-6.0,43.0,84.0,269.0,2.0,10.0,59
Dog Days Are Over,Florence + The Machine,POP,5.513621,78.0,2010,150.0,81.0,50.0,-5.0,12.0,26.0,253.0,3.0,9.0,58
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,POP,5.976217,83.0,2010,150.0,85.0,51.0,-4.0,12.0,72.0,185.0,47.0,27.0,58
Doesn't Mean Anything,Alicia Keys,HIPHOP,8.491202000000001,83.0,2010,104.0,41.0,71.0,-7.0,10.0,10.0,273.0,4.0,3.0,57
Hard,Rihanna,POP,41.858636,93.0,2010,182.0,75.0,31.0,-4.0,65.0,16.0,251.0,1.0,11.0,57
Loca,Shakira,POP,21.244925,88.0,2010,112.0,87.0,80.0,-4.0,9.0,85.0,193.0,19.0,7.0,56
You Lost Me,Christina Aguilera,POP,5.976217,83.0,2010,43.0,39.0,23.0,-6.0,14.0,7.0,257.0,85.0,4.0,56
Not Myself Tonight,Christina Aguilera,POP,5.976217,83.0,2010,120.0,81.0,76.0,-5.0,56.0,54.0,186.0,0.0,4.0,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,POP,0.765237,71.0,2010,91.0,95.0,64.0,-4.0,18.0,57.0,220.0,6.0,7.0,52
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,HIPHOP,8.554807,85.0,2010,120.0,86.0,66.0,-3.0,8.0,65.0,221.0,3.0,11.0,52
Castle Walls (feat. Christina Aguilera),T.I.,HIPHOP,3.668252,80.0,2010,80.0,86.0,45.0,-5.0,26.0,58.0,329.0,7.0,39.0,49
Break Your Heart,Taio Cruz,POP,1.899663,75.0,2010,122.0,90.0,67.0,-5.0,8.0,63.0,186.0,0.0,3.0,33
Hello,Martin Solveig,DISCO,1.167038,73.0,2010,128.0,98.0,67.0,-3.0,10.0,45.0,191.0,1.0,3.0,0
A Thousand Years,Christina Perri,POP,2.917625,76.0,2011,139.0,41.0,42.0,-7.0,11.0,16.0,285.0,31.0,3.0,81
Someone Like You,Adele,BLUES,26.369721999999996,86.0,2011,135.0,33.0,56.0,-8.0,10.0,28.0,285.0,89.0,3.0,80
Give Me Everything,Pitbull,POP,8.302253,87.0,2011,129.0,94.0,67.0,-3.0,30.0,53.0,252.0,19.0,16.0,79
