title,artist,top genre,followers,artist_popularity,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity,is_dance_pop
"Hey, Soul Sister",Train,neo mellow,3.618665,78.0,2010,97.0,89.0,67.0,-4.0,8.0,80.0,217.0,19.0,4.0,83,0
Love The Way You Lie,Eminem,detroit hip hop,42.79582,95.0,2010,87.0,93.0,75.0,-5.0,52.0,64.0,263.0,24.0,23.0,82,0
TiK ToK,Kesha,dance pop,6.235482,82.0,2010,120.0,84.0,76.0,-3.0,29.0,71.0,200.0,10.0,14.0,80,1
Bad Romance,Lady Gaga,dance pop,16.716518,90.0,2010,119.0,92.0,70.0,-4.0,8.0,71.0,295.0,0.0,4.0,79,1
Just the Way You Are,Bruno Mars,pop,29.381078999999996,93.0,2010,109.0,84.0,64.0,-5.0,9.0,43.0,221.0,2.0,4.0,78,0
Baby,Justin Bieber,canadian pop,43.75545200000001,98.0,2010,65.0,86.0,73.0,-5.0,11.0,54.0,214.0,4.0,14.0,77,0
Dynamite,Taio Cruz,dance pop,1.899663,75.0,2010,120.0,78.0,75.0,-4.0,4.0,82.0,203.0,0.0,9.0,77,1
Secrets,OneRepublic,dance pop,11.507962,85.0,2010,148.0,76.0,52.0,-6.0,12.0,38.0,225.0,7.0,4.0,77,1
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,8.491202000000001,83.0,2010,93.0,37.0,48.0,-8.0,12.0,14.0,216.0,74.0,3.0,76,0
Only Girl (In The World),Rihanna,barbadian pop,41.858636,93.0,2010,126.0,72.0,79.0,-4.0,7.0,61.0,235.0,13.0,4.0,73,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,7.995771,83.0,2010,128.0,87.0,62.0,-4.0,6.0,47.0,235.0,3.0,3.0,73,1
Marry You,Bruno Mars,pop,29.381078999999996,93.0,2010,145.0,83.0,62.0,-5.0,10.0,48.0,230.0,33.0,4.0,73,0
Cooler Than Me - Single Mix,Mike Posner,dance pop,1.123621,76.0,2010,130.0,82.0,77.0,-5.0,70.0,63.0,213.0,18.0,5.0,73,1
Telephone,Lady Gaga,dance pop,16.716518,90.0,2010,122.0,83.0,83.0,-6.0,11.0,71.0,221.0,1.0,4.0,73,1
Like A G6,Far East Movement,dance pop,1.019001,71.0,2010,125.0,84.0,44.0,-8.0,12.0,78.0,217.0,1.0,45.0,72,1
OMG (feat. will.i.am),Usher,atl hip hop,8.554807,85.0,2010,130.0,75.0,78.0,-6.0,36.0,33.0,269.0,20.0,3.0,72,0
Eenie Meenie,Sean Kingston,dance pop,2.0445740000000003,76.0,2010,121.0,61.0,72.0,-4.0,11.0,83.0,202.0,5.0,3.0,71,1
The Time (Dirty Bit),The Black Eyed Peas,dance pop,10.515901,86.0,2010,128.0,81.0,82.0,-8.0,60.0,44.0,308.0,7.0,7.0,70,1
Alejandro,Lady Gaga,dance pop,16.716518,90.0,2010,99.0,80.0,63.0,-7.0,36.0,37.0,274.0,0.0,5.0,69,1
Your Love Is My Drug,Kesha,dance pop,6.235482,82.0,2010,120.0,61.0,83.0,-4.0,9.0,76.0,187.0,1.0,10.0,69,1
Meet Me Halfway,The Black Eyed Peas,dance pop,10.515901,86.0,2010,130.0,63.0,80.0,-7.0,32.0,40.0,284.0,0.0,7.0,68,1
Whataya Want from Me,Adam Lambert,australian pop,1.176878,68.0,2010,186.0,68.0,44.0,-5.0,6.0,45.0,227.0,1.0,5.0,66,0
Take It Off,Kesha,dance pop,6.235482,82.0,2010,125.0,68.0,73.0,-5.0,9.0,74.0,215.0,0.0,3.0,66,1
Misery,Maroon 5,pop,29.955690999999998,91.0,2010,103.0,81.0,70.0,-5.0,22.0,73.0,216.0,0.0,4.0,65,0
All The Right Moves,OneRepublic,dance pop,11.507962,85.0,2010,146.0,95.0,53.0,-4.0,28.0,65.0,238.0,26.0,5.0,65,1
Animal,Neon Trees,indie pop,1.006162,73.0,2010,148.0,83.0,48.0,-6.0,38.0,74.0,212.0,0.0,4.0,65,0
Naturally,Selena Gomez & The Scene,dance pop,6.3215,72.0,2010,133.0,90.0,61.0,-5.0,5.0,88.0,203.0,2.0,5.0,64,1
I Like It,Enrique Iglesias,dance pop,9.980979,81.0,2010,129.0,94.0,65.0,-3.0,6.0,73.0,231.0,2.0,9.0,63,1
Teenage Dream,Katy Perry,dance pop,17.821796,88.0,2010,120.0,80.0,72.0,-5.0,13.0,59.0,228.0,2.0,4.0,63,1
California Gurls,Katy Perry,dance pop,17.821796,88.0,2010,125.0,75.0,79.0,-4.0,18.0,40.0,235.0,0.0,5.0,62,1
3,Britney Spears,dance pop,8.732805,85.0,2010,135.0,71.0,70.0,-2.0,14.0,79.0,213.0,5.0,5.0,62,1
My First Kiss - feat. Ke$ha,3OH!3,dance pop,0.739929,70.0,2010,138.0,89.0,68.0,-4.0,36.0,83.0,192.0,1.0,8.0,62,1
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,6.235482,82.0,2010,120.0,84.0,75.0,-3.0,42.0,52.0,172.0,8.0,12.0,62,1
Imma Be,The Black Eyed Peas,dance pop,10.515901,86.0,2010,92.0,52.0,60.0,-7.0,31.0,41.0,258.0,18.0,37.0,62,1
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,8.491202000000001,83.0,2010,111.0,82.0,50.0,-5.0,13.0,55.0,249.0,16.0,11.0,62,0
Sexy Bitch (feat. Akon),David Guetta,dance pop,22.306494,91.0,2010,130.0,63.0,81.0,-5.0,13.0,80.0,196.0,8.0,5.0,61,1
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,5.976217,83.0,2010,164.0,41.0,29.0,-5.0,13.0,7.0,264.0,83.0,3.0,61,1
If I Had You,Adam Lambert,australian pop,1.176878,68.0,2010,131.0,91.0,65.0,-4.0,37.0,79.0,228.0,1.0,11.0,59,0
Rock That Body,The Black Eyed Peas,dance pop,10.515901,86.0,2010,125.0,91.0,72.0,-6.0,43.0,84.0,269.0,2.0,10.0,59,1
Dog Days Are Over,Florence + The Machine,art pop,5.513621,78.0,2010,150.0,81.0,50.0,-5.0,12.0,26.0,253.0,3.0,9.0,58,0
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,5.976217,83.0,2010,150.0,85.0,51.0,-4.0,12.0,72.0,185.0,47.0,27.0,58,1
Doesn't Mean Anything,Alicia Keys,hip pop,8.491202000000001,83.0,2010,104.0,41.0,71.0,-7.0,10.0,10.0,273.0,4.0,3.0,57,0
